id,name,genre,cuisine,address,price_range,visited,rating,notes,situation,kids_friendly,created_date,updated_date
1,銀座 久兵衛,和食,寿司,東京都中央区銀座6-7-6,5000〜,true,5,最高の職人技,接待・商談向き|デート向き,false,2026/06/09,2026/06/09
2,一蘭 渋谷店,ラーメン,豚骨ラーメン,東京都渋谷区道玄坂1-12-5,〜1000,true,4,こだわりのとんこつ,一人で行きやすい,false,2026/06/09,2026/06/09
3,俺のフレンチ 銀座,フレンチ,フランス料理,東京都中央区銀座7-3-13,2000〜5000,false,,スタンディングフレンチ,デート向き,false,2026/06/09,2026/06/09
4,焼肉きんぐ 池袋店,焼肉,牛・豚・ホルモン,東京都豊島区東池袋1-11-1,2000〜5000,true,3.5,食べ放題でコスパ良好,宴会向き,true,2026/06/09,2026/06/09
5,更科堀井,和食,蕎麦,東京都港区元麻布3-11-4,1000〜2000,false,,江戸創業の老舗,接待・商談向き|デート向き,true,2026/06/09,2026/06/09
6,ピッツェリア ダ・フォルノ,イタリアン,ナポリピザ,東京都渋谷区代官山町8-10,2000〜5000,true,5,本格的な窯焼きピザ,デート向き,false,2026/06/09,2026/06/09
7,吉野家 渋谷店,牛丼,牛丼・定食,東京都渋谷区宇田川町21-1,〜1000,true,3,安定のコスパ,一人で行きやすい,true,2026/06/09,2026/06/09
8,むさし坊,居酒屋,和食・創作料理,東京都新宿区新宿3-14-5,1000〜2000,false,,友人のおすすめ,宴会向き,false,2026/06/09,2026/06/09
9,スープカレー SUAGE,カレー,スープカレー,北海道札幌市中央区南3条西1-7,1000〜2000,true,4.5,札幌本店で絶品,一人で行きやすい,true,2026/06/09,2026/06/09
10,つけ麺 道,ラーメン,つけ麺,東京都渋谷区代々木2-19-1,〜1000,false,,口コミで評判,一人で行きやすい,false,2026/06/09,2026/06/09
11,鼎泰豊 新宿高島屋店,中華,小籠包・台湾料理,東京都渋谷区千駄ヶ谷5-24-2,2000〜5000,true,4.5,小籠包は絶品,デート向き|宴会向き,true,2026/06/09,2026/06/09
12,ガパオ食堂 渋谷,エスニック,タイ料理,東京都渋谷区渋谷1-14-14,1000〜2000,false,,本格タイ料理が食べたい,一人で行きやすい|デート向き,true,2026/06/09,2026/06/09
